"id","name","gamesPlayed","timeOnIce","garSixty"
"47f2a90f-e313-4d16-9460-d403738b7f05","john klingberg","224","5371.42","0.14"
"102b0678-083e-4451-ab50-1e18e9ca43bb","john moore","210","4052.38","-0.14"
"8b563658-3f90-4eac-a76b-0d39515463ae","johnny boychuk","196","3894.25","-0.04"
"8f18fb6d-1b5b-4a3e-b626-2e442f589dbc","johnny gaudreau","236","4564.15","0.32"
"4a43c56b-7c23-48b7-852a-af152d0a011b","john tavares","239","4735.04","0.45"
"fd95287f-ce1b-4d41-9d36-f2eb069d9265","jonas brodin","231","4766.4","0.14"
"f6f1c278-6030-4bde-af97-ee12bbffc05e","jonathan drouin","228","3978.04","0.14"
"ab3e20aa-e25e-4866-8aa3-424a793663cb","jonathan ericsson","183","3415.5","-0.18"
"1df38210-4606-477d-8e3f-eba5ec28e574","jonathan huberdeau","193","3634.69","0.22"
"cdf81a78-7fe2-4b72-8ebf-daf1b6339623","jonathan marchessault","251","4429.32","0.27"
"7f3dffe1-1322-4e39-8041-6b16d1c006a4","jonathan toews","228","4628.78","0.14"
